SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,Displacement_mm,Strain_micro,PorePressure_kPa,SeismicVibration_mm/s,SUBDIVISION_clean,latitude_rain,longitude_rain,latitude,longitude,dem_latitude,dem_longitude,dem_elevation,dem_slope,dem_aspect,crack_density,debris_entropy,debris_contrast,debris_homogeneity,vegetation_green_ratio,rockfall_risk
ANDAMAN & NICOBAR ISLANDS,1932,2.8,2.5,10.1,58.2,479.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3,548.0,0.0,0.0,0.0,0.0,0.0,2.22757319,ANDAMAN & NICOBAR ISLANDS,11.67,92.75,11.67,92.75,8,81.0,55,72.65393471,231.3401917,0.0210625,1.424112852,77.29166389,0.932467059,0.169908333,0
ANDAMAN & NICOBAR ISLANDS,1933,4.5,11.7,8.1,58.4,365.4,544.2,376.6,294.1,759.0,239.8,268.8,56.9,2987.5,16.2,431.9,1973.9,565.5,33.57955637,335.3214425,148.5116214,2.386364189,ANDAMAN & NICOBAR ISLANDS,11.67,92.75,11.67,92.75,8,81.0,55,72.65393471,231.3401917,0.02081875,3.637953692,61.74727064,0.643697266,0.165391667,1
ANDAMAN & NICOBAR ISLANDS,1934,7.3,172.9,6.9,131.4,62.0,708.4,323.5,924.9,761.1,338.1,240.2,46.1,3722.8,180.2,200.3,2717.9,624.4,37.20100555,369.4361421,163.9817757,1.961357381,ANDAMAN & NICOBAR ISLANDS,11.67,92.75,11.67,92.75,8,81.0,55,72.65393471,231.3401917,0.041325,3.129296047,95.27197248,0.873096484,0.693291667,1
ANDAMAN & NICOBAR ISLANDS,1935,6.6,0.0,0.5,133.6,726.8,374.1,368.7,411.6,578.9,182.4,275.4,95.4,3154.0,6.6,860.9,1733.3,553.2,29.42457814,295.4634324,155.7456515,3.187233142,ANDAMAN & NICOBAR ISLANDS,11.67,92.75,11.67,92.75,8,81.0,55,72.65393471,231.3401917,0.020791667,1.440112968,64.58213511,0.931757846,0.177395833,1
ANDAMAN & NICOBAR ISLANDS,1936,16.5,15.3,116.5,0.0,194.3,498.3,664.8,562.9,383.8,174.9,199.2,212.2,0.0,31.8,0.0,2109.8,586.3,0.0,0.0,0.0,1.658532447,ANDAMAN & NICOBAR ISLANDS,11.67,92.75,11.67,92.75,8,81.0,55,72.65393471,231.3401917,0.020022917,0.844178544,469.6844787,0.976839814,0.168464583,0
ANDAMAN & NICOBAR ISLANDS,1937,21.6,10.7,0.0,112.0,330.5,732.8,449.5,332.0,349.5,383.3,251.7,617.5,3591.1,32.3,442.5,1863.8,1252.5,33.4693127,340.3320283,168.8777742,1.819456418,ANDAMAN & NICOBAR ISLANDS,11.67,92.75,11.67,92.75,8,81.0,55,72.65393471,231.3401917,0.064447917,6.735020926,1030.359053,0.072827277,0.68536875,2
ANDAMAN & NICOBAR ISLANDS,1938,13.4,57.2,50.5,101.6,368.9,668.6,318.2,397.1,546.7,318.4,316.3,107.5,3264.4,70.6,521.0,1930.6,742.2,33.06172719,331.0478262,155.7127967,1.802466547,ANDAMAN & NICOBAR ISLANDS,11.67,92.75,11.67,92.75,8,81.0,55,72.65393471,231.3401917,0.020839583,1.456158854,66.35262719,0.931445681,0.164845833,1
ANDAMAN & NICOBAR ISLANDS,1939,54.1,1.5,16.1,77.3,480.5,541.0,335.6,202.8,512.5,263.9,165.9,131.3,2782.5,55.6,573.9,1591.9,561.1,23.90565975,235.3219811,147.0521102,1.961906194,ANDAMAN & NICOBAR ISLANDS,11.67,92.75,11.67,92.75,8,81.0,55,72.65393471,231.3401917,0.03376875,6.235421361,716.6094058,0.077055976,0.169541667,2
ANDAMAN & NICOBAR ISLANDS,1940,0.5,2.8,59.4,0.0,320.7,335.4,268.1,889.2,477.5,114.1,221.0,318.8,3007.5,3.3,380.1,1970.2,653.9,27.4186279,279.1371102,135.6084278,1.835637594,ANDAMAN & NICOBAR ISLANDS,11.67,92.75,11.67,92.75,8,81.0,55,72.65393471,231.3401917,0.01945,0.909264414,250.3448249,0.973756617,0.16333125,1
ANDAMAN & NICOBAR ISLANDS,1941,0.0,12.8,0.0,77.8,251.9,497.0,302.5,311.9,516.0,382.8,266.0,279.5,2898.2,12.8,329.7,1627.4,928.3,29.37572247,292.6715693,155.4880101,1.296594728,ANDAMAN & NICOBAR ISLANDS,11.67,92.75,11.67,92.75,8,81.0,55,72.65393471,231.3401917,0.0209,3.745890916,43.90436405,0.619194012,0.164258333,1
ANDAMAN & NICOBAR ISLANDS,1942,39.2,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.6,0.0,0.0,0.0,0.0,0.0,0.0,10.4783125,ANDAMAN & NICOBAR ISLANDS,11.67,92.75,11.67,92.75,8,81.0,55,72.65393471,231.3401917,0.040058333,5.82883947,852.5816055,0.139962169,0.68331875,1
ANDAMAN & NICOBAR ISLANDS,1946,84.4,3.6,21.1,135.2,309.1,535.9,189.0,367.4,478.3,276.9,146.9,243.8,2791.6,88.0,465.4,1570.6,667.6,28.25873656,280.2003121,135.6943178,1.951189652,ANDAMAN & NICOBAR ISLANDS,11.67,92.75,11.67,92.75,8,81.0,55,72.65393471,231.3401917,0.020802083,1.454963753,60.67743536,0.931360395,0.166404167,1
ANDAMAN & NICOBAR ISLANDS,1947,25.1,111.1,63.2,127.7,206.3,965.6,490.0,293.7,0.0,376.0,67.5,168.6,0.0,136.2,397.2,0.0,612.1,0.0,0.0,0.0,2.614286041,ANDAMAN & NICOBAR ISLANDS,11.67,92.75,11.67,92.75,8,81.0,55,72.65393471,231.3401917,0.037420833,5.759904219,170.4984445,0.274733754,0.70600625,0
ANDAMAN & NICOBAR ISLANDS,1949,0.0,56.4,0.0,166.5,405.8,658.4,743.3,404.0,627.5,339.6,81.1,7.0,3489.6,56.4,572.3,2433.2,427.7,34.29379261,343.3587672,178.2604626,3.101121637,ANDAMAN & NICOBAR ISLANDS,11.67,92.75,11.67,92.75,8,81.0,55,72.65393471,231.3401917,0.038860417,5.831780348,45.3409779,0.341047427,0.680508333,1
ANDAMAN & NICOBAR ISLANDS,1950,0.8,0.0,0.0,95.5,264.2,369.9,366.7,347.3,494.5,224.6,89.3,169.4,2422.2,0.8,359.7,1578.4,483.3,21.26495602,212.7137034,145.7087199,2.667736949,ANDAMAN & NICOBAR ISLANDS,11.67,92.75,11.67,92.75,8,81.0,55,72.65393471,231.3401917,0.04520625,1.655995719,798.4635822,0.949066666,0.68388125,2
ANDAMAN & NICOBAR ISLANDS,1951,82.7,7.2,0.0,45.4,259.0,619.9,665.3,101.3,360.9,489.0,209.6,434.8,3275.1,89.9,304.4,1747.4,1133.4,31.31131158,315.512251,171.5699724,1.612310485,ANDAMAN & NICOBAR ISLANDS,11.67,92.75,11.67,92.75,8,81.0,55,72.65393471,231.3401917,0.019958333,5.409573052,576.0436405,0.133481875,0.1681875,1
ANDAMAN & NICOBAR ISLANDS,1952,0.0,0.8,69.7,39.4,452.9,657.7,385.5,541.3,240.3,315.6,287.5,89.2,3079.9,0.8,562.0,1824.8,692.3,29.87772246,297.4339958,145.3521474,1.652095195,ANDAMAN & NICOBAR ISLANDS,11.67,92.75,11.67,92.75,8,81.0,55,72.65393471,231.3401917,0.019841667,5.577785837,578.0227627,0.111880653,0.165604167,1
ANDAMAN & NICOBAR ISLANDS,1953,56.0,65.3,20.1,159.4,241.1,549.9,444.4,262.8,370.1,243.6,246.0,63.3,2721.9,121.3,420.5,1627.1,552.9,29.33324445,284.1506456,147.4512059,1.920335711,ANDAMAN & NICOBAR ISLANDS,11.67,92.75,11.67,92.75,8,81.0,55,72.65393471,231.3401917,0.04101875,4.180702861,83.92399083,0.675123076,0.728927083,1
ANDAMAN & NICOBAR ISLANDS,1954,83.8,2.1,34.3,58.0,394.7,539.4,510.8,605.4,763.8,247.2,84.8,124.7,3449.0,85.9,487.0,2419.4,456.7,35.17723658,349.6084964,169.2832045,2.892279444,ANDAMAN & NICOBAR ISLANDS,11.67,92.75,11.67,92.75,8,81.0,55,72.65393471,231.3401917,0.020810417,5.007448713,72.53792744,0.369142204,0.175979167,1
ANDAMAN & NICOBAR ISLANDS,1955,57.3,28.2,9.9,68.8,663.6,651.1,298.4,356.9,341.8,466.5,362.9,44.2,3349.6,85.5,742.2,1648.3,873.6,29.96991969,303.6682892,181.2248498,1.917287974,ANDAMAN & NICOBAR ISLANDS,11.67,92.75,11.67,92.75,8,81.0,55,72.65393471,231.3401917,0.086958333,6.60182427,791.9016514,0.056224676,0.168304167,2
ANDAMAN & NICOBAR ISLANDS,1956,49.2,77.2,33.8,130.3,491.8,343.1,468.4,467.7,325.1,458.7,164.1,70.5,3080.0,126.4,656.0,1604.4,693.3,31.44816794,312.994799,162.066764,1.336246255,ANDAMAN & NICOBAR ISLANDS,11.67,92.75,11.67,92.75,8,81.0,55,72.65393471,231.3401917,0.020520833,1.206501186,66.89091326,0.950700854,0.164370833,1
ANDAMAN & NICOBAR ISLANDS,1957,28.0,19.3,4.6,19.0,142.4,741.9,316.2,421.3,354.3,299.7,88.6,71.9,2507.2,47.3,166.0,1833.6,460.3,24.30183544,241.7864374,95.92858435,1.749411432,ANDAMAN & NICOBAR ISLANDS,11.67,92.75,11.67,92.75,8,81.0,55,72.65393471,231.3401917,0.04086875,2.736142539,128.8909925,0.902713415,0.68209375,1
ANDAMAN & NICOBAR ISLANDS,1958,22.9,14.3,30.4,24.6,355.1,530.7,440.7,388.4,350.6,265.2,313.8,70.7,2807.4,37.2,410.2,1710.4,649.6,26.720156,272.1334425,130.3292037,2.378528001,ANDAMAN & NICOBAR ISLANDS,11.67,92.75,11.67,92.75,8,81.0,55,72.65393471,231.3401917,0.041147917,1.523340693,985.391447,0.957034407,0.6864875,1
ANDAMAN & NICOBAR ISLANDS,1959,10.1,1.8,31.3,86.7,238.1,455.7,817.1,409.3,589.6,332.7,242.5,128.5,3343.3,11.9,356.1,2271.7,703.6,34.65635258,343.0036596,176.6088522,2.344970138,ANDAMAN & NICOBAR ISLANDS,11.67,92.75,11.67,92.75,8,81.0,55,72.65393471,231.3401917,0.020827083,5.768547882,458.2024771,0.098564938,0.1638375,1
ANDAMAN & NICOBAR ISLANDS,1960,104.2,72.4,12.1,53.5,535.4,541.5,308.4,270.7,442.4,400.0,191.7,92.8,3025.0,176.6,601.0,1563.0,684.5,32.31199904,315.4059744,152.7665727,1.899891667,ANDAMAN & NICOBAR ISLANDS,11.67,92.75,11.67,92.75,8,81.0,55,72.65393471,231.3401917,0.03931875,5.860676661,516.3674374,0.135931703,0.679964583,2
ANDAMAN & NICOBAR ISLANDS,1961,82.1,99.4,33.2,88.1,973.1,383.3,304.9,557.1,612.0,379.9,280.6,144.5,3938.2,181.5,1094.5,1857.3,805.0,41.24456024,411.6424468,186.6724405,2.341707337,ANDAMAN & NICOBAR ISLANDS,11.67,92.75,11.67,92.75,8,81.0,55,72.65393471,231.3401917,0.04198125,5.67354268,859.140342,0.157741374,0.70755,2
ANDAMAN & NICOBAR ISLANDS,1962,152.4,14.9,17.3,46.4,310.4,367.7,409.1,420.6,474.5,259.8,101.7,384.9,2959.7,167.3,374.1,1671.9,746.4,27.91856495,276.7647798,141.6491048,0.863413899,ANDAMAN & NICOBAR ISLANDS,11.67,92.75,11.67,92.75,8,81.0,55,72.65393471,231.3401917,0.020664583,3.574620271,71.84867389,0.572887481,0.161545833,1
ANDAMAN & NICOBAR ISLANDS,1963,79.9,26.8,7.4,69.5,259.9,434.7,303.3,601.2,614.3,295.5,109.3,179.9,2981.7,106.7,336.8,1953.5,584.7,29.19857525,287.1545209,130.0226338,2.051914618,ANDAMAN & NICOBAR ISLANDS,11.67,92.75,11.67,92.75,8,81.0,55,72.65393471,231.3401917,0.019466667,4.969015104,304.0165888,0.17595171,0.163060417,1
ANDAMAN & NICOBAR ISLANDS,1964,65.5,21.9,3.1,18.1,530.6,465.3,287.3,472.1,521.2,218.9,349.2,101.6,3054.8,87.4,551.8,1745.9,669.8,31.21052686,311.2283763,151.8562671,2.430342711,ANDAMAN & NICOBAR ISLANDS,11.67,92.75,11.67,92.75,8,81.0,55,72.65393471,231.3401917,0.020825,1.230447084,137.7965596,0.95002042,0.17020625,1
ANDAMAN & NICOBAR ISLANDS,1965,11.8,30.4,25.3,51.0,292.3,408.8,392.1,396.6,576.8,290.5,187.9,500.4,3163.8,42.2,368.5,1774.3,978.8,33.58909025,338.3484308,180.2968973,1.583568362,ANDAMAN & NICOBAR ISLANDS,11.67,92.75,11.67,92.75,8,81.0,55,72.65393471,231.3401917,0.040689583,2.725462915,125.8734153,0.90029339,0.6880625,1
ANDAMAN & NICOBAR ISLANDS,1966,79.8,4.2,12.0,38.7,376.9,148.8,433.5,335.6,454.1,171.9,333.8,311.9,2701.2,83.9,427.6,1372.1,817.6,26.05365152,260.4900724,143.1093339,1.581830732,ANDAMAN & NICOBAR ISLANDS,11.67,92.75,11.67,92.75,8,81.0,55,72.65393471,231.3401917,0.0371125,5.311595458,177.6421789,0.357057712,0.716389583,1
ANDAMAN & NICOBAR ISLANDS,1967,164.6,21.6,30.0,63.4,516.4,340.8,537.8,614.3,303.5,427.5,99.7,97.0,3216.4,186.2,609.7,1796.4,624.1,31.79268205,319.4617258,182.72417,1.066775924,ANDAMAN & NICOBAR ISLANDS,11.67,92.75,11.67,92.75,8,81.0,55,72.65393471,231.3401917,0.020014583,5.421412314,545.0227023,0.13316168,0.167922917,1
ANDAMAN & NICOBAR ISLANDS,1968,22.1,1.3,4.2,81.5,297.6,545.2,519.3,242.0,496.8,281.6,152.0,119.2,2762.8,23.4,383.3,1803.3,552.8,25.41533005,263.220339,146.9639709,2.794947797,ANDAMAN & NICOBAR ISLANDS,11.67,92.75,11.67,92.75,8,81.0,55,72.65393471,231.3401917,0.0392125,2.127698713,450.0507465,0.948791387,0.680391667,1
ANDAMAN & NICOBAR ISLANDS,1969,106.3,64.7,14.6,20.8,317.3,422.8,345.2,281.4,489.8,146.8,343.7,65.8,2619.0,171.0,352.7,1539.1,556.3,23.79758675,236.2614732,141.2247934,1.639923011,ANDAMAN & NICOBAR ISLANDS,11.67,92.75,11.67,92.75,8,81.0,55,72.65393471,231.3401917,0.020541667,1.197620142,50.72550042,0.951113816,0.16141875,1
ANDAMAN & NICOBAR ISLANDS,1970,72.2,34.0,7.8,58.2,422.7,407.3,564.6,342.9,423.5,386.6,418.4,232.7,3370.8,106.2,488.7,1738.2,1037.7,35.33305164,354.7222596,188.2807869,2.120521639,ANDAMAN & NICOBAR ISLANDS,11.67,92.75,11.67,92.75,8,81.0,55,72.65393471,231.3401917,0.03938125,2.156897195,582.0127606,0.944569037,0.685179167,1
